date,symbol,adv,dec,open,high,low,close,qty,trades,new_high,new_low,fiiIdxFutlong,fiiIdxFutshort,fiiIdxCElong,fiiIdxCEshort,fiiIdxPElong,fiiIdxPEshort,fiiStkFutlong,fiiStkFutshort,fiiStkCElong,fiiStkCEshort,fiiStkPElong,fiiStkPEshort,diiIdxFutlong,diiIdxFutshort,diiIdxCElong,diiIdxCEshort,diiIdxPElong,diiIdxPEshort,diiStkFutlong,diiStkFutshort,diiStkCElong,diiStkCEshort,diiStkPElong,diiStkPEshort,propIdxFutlong,propIdxFutshort,propIdxCElong,propIdxCEshort,propIdxPElong,propIdxPEshort,propStkFutlong,propStkFutshort,propStkCElong,propStkCEshort,propStkPElong,propStkPEshort
20140407T,CNX Nifty,778,703,6694.25,6725.15,6650.4,6695.05,9037.81,6220550.0,36,11,293022,71401,430737,328349,481765,250871,360762,727679,14843,15311,10437,6665,4292,130,203629.0,0,0,0,30271,92703.0,77,0,0,0,28490,87213,193249.0,257710.0,231382.0,344761.0,156229.0,138220.0,31458,85581,22164,44757
20140409T,CNX Nifty,1129,388,6722.0,6808.7,6705.1,6796.2,10009.44,8027622.0,44,15,299757,74469,437625,311607,493611,243999,358434,728607,15272,15986,11376,7592,4942,130,203629.0,0,0,0,32680,93408.0,77,0,0,0,33998,89401,208007.0,261284.0,202765.0,374008.0,161620.0,143854.0,37579,88566,21562,51163
20140410T,CNX Nifty,873,664,6803.05,6819.05,6777.3,6796.4,12014.01,8484007.0,47,4,288820,73913,460757,322724,523169,222645,358509,739338,17284,18942,12467,8764,4478,130,202707.0,0,0,0,32694,92861.0,104,0,0,0,35753,80580,204216.0,292520.0,216808.0,409838.0,164625.0,143103.0,40501,95259,24710,55300
20140411T,CNX Nifty,816,672,6758.35,6789.35,6743.15,6776.3,9852.5,7245702.0,49,5,283205,77244,464048,328248,523685,230314,353474,752109,20169,20847,13539,9818,6325,130,202973.0,0,0,0,30805,94574.0,104,0,0,0,34176,76069,195840.0,307757.0,227197.0,403866.0,170039.0,142845.0,42608,107426,29247,60741
20140415T,CNX Nifty,627,878,6792.7,6813.4,6711.75,6733.1,8087.09,6624511.0,46,31,265631,90366,459526,333627,524446,216604,348934,750379,20142,22968,12763,10663,8949,180,202973.0,0,0,0,27979,94006.0,72,0,0,0,37897,72891,200863.0,344644.0,214576.0,377076.0,173604.0,144450.0,41989,121245,33421,64133
20140416T,CNX Nifty,474,1023,6727.25,6748.65,6665.15,6675.3,8269.42,7073949.0,32,16,282296,101472,446419,336381,540803,212256,342188,752848,21385,22477,12788,10628,9646,696,205006.0,0,150,0,28258,95133.0,57,0,32,0,39529,69111,199629.0,370776.0,229343.0,370464.0,176059.0,153339.0,40694,128094,34362,62715
20140417T,CNX Nifty,1037,458,6695.45,6783.05,6684.4,6779.4,8316.37,6365397.0,30,20,301826,99719,460994,345698,552019,214352,353454,770318,21195,21991,12479,11101,8184,130,203617.0,0,0,0,18355,97141.0,57,0,32,0,40959,69687,204638.0,313204.0,227560.0,427542.0,183551.0,164107.0,43026,117036,30786,68188
20140421T,CNX Nifty,1029,457,6789.25,6825.45,6786.9,6817.65,7211.57,5623843.0,46,8,328132,114944,451795,343001,568525,213333,376716,803929,20974,22004,12179,11784,7980,130,202167.0,0,0,0,16383,98612.0,187,0,32,0,46585,74022,202813.0,312720.0,240034.0,487574.0,196968.0,176785.0,43164,120478,32529,73107
20140422T,CNX Nifty,754,745,6822.9,6838.0,6806.25,6815.35,7927.64,6140952.0,40,12,359306,119253,429677,323729,578911,205688,386374,825022,20311,21044,12941,12052,8011,130,201017.0,0,0,0,16545,100582.0,712,0,32,0,38067,79451,196864.0,312445.0,206432.0,481276.0,189481.0,170743.0,43311,124152,35486,71573
20140423T,CNX Nifty,764,738,6823.25,6861.6,6820.75,6840.8,9947.22,6893161.0,44,10,231193,46089,301734,250675,387435,73581,392513,810306,2593,766,1280,0,4860,130,200917.0,0,0,0,8914,109268.0,737,0,0,0,19250,54988,132946.0,147272.0,122242.0,157753.0,134943.0,136720.0,14598,24672,14691,15075
20140425T,CNX Nifty,601,912,6855.8,6869.85,6772.85,6782.75,8713.81,7057034.0,41,13,214689,56843,345370,264163,408444,90462,393136,816513,8157,6150,6674,2168,6179,130,201067.0,0,0,0,10537,109984.0,629,0,0,0,18250,54138,140681.0,169292.0,149183.0,181268.0,140028.0,138156.0,19269,38220,19455,20531
20140428T,CNX Nifty,742,748,6778.55,6786.25,6750.3,6761.25,7767.01,6141227.0,44,18,215414,64559,360492,277027,429992,97881,393038,819913,11301,8851,9331,3144,6147,330,201067.0,0,240,0,12770,111973.0,525,0,0,0,22847,51864,162661.0,194637.0,154814.0,190048.0,146271.0,148218.0,23459,44145,22046,23204
20140429T,CNX Nifty,607,877,6769.0,6779.7,6708.65,6715.25,8501.06,6570672.0,36,16,193750,55346,363758,296472,440486,103515,382550,830761,12155,10127,10337,3784,7752,237,201646.0,0,170,0,13042,112264.0,525,0,0,0,26956,53220,166220.0,213236.0,165709.0,196861.0,148309.0,142328.0,25513,53251,26149,24516
20140430T,CNX Nifty,404,1104,6724.95,6780.15,6656.8,6696.4,10505.39,7754615.0,28,18,194713,64245,366323,316753,489608,136671,386270,832480,13687,12267,11373,4688,7701,237,201630.0,0,170,0,11813,113201.0,525,0,0,0,27982,49989,170466.0,222469.0,174263.0,207728.0,145801.0,132074.0,26399,62304,29619,26811
