date,symbol,adv,dec,open,high,low,close,qty,trades,new_high,new_low
2015-11-09,Nifty 50,852,637,7788.25,7937.75,7771.70,7915.20,8537.12,7344834.0,21,32
2015-11-10,Nifty 50,493,1009,7877.60,7885.10,7772.85,7783.35,8347.36,6988466.0,17,14
2015-11-11,Nifty 50,1259,179,7838.80,7847.95,7819.10,7825.00,1892.45,1311225.0,13,8
2015-11-13,Nifty 50,454,1076,7762.45,7775.10,7730.90,7762.25,7913.58,8135904.0,25,16
2015-11-16,Nifty 50,828,707,7732.95,7838.85,7714.15,7806.60,8673.6,7124344.0,31,19
2015-11-17,Nifty 50,821,702,7848.75,7860.45,7793.00,7837.55,8736.08,7078014.0,28,14
2015-11-18,Nifty 50,516,1012,7823.15,7843.40,7725.05,7731.80,9781.94,6835929.0,22,12
2015-11-19,Nifty 50,1078,433,7788.50,7854.90,7765.45,7842.75,7855.18,6797680.0,29,13
2015-11-20,Nifty 50,893,635,7841.90,7906.95,7817.80,7856.55,9228.77,7400122.0,34,10
2015-11-23,Nifty 50,831,705,7869.50,7877.50,7825.20,7849.25,7353.82,6649215.0,39,14
2015-11-24,Nifty 50,847,678,7837.00,7870.35,7812.65,7831.60,9022.86,7146151.0,38,9
2015-11-26,Nifty 50,928,597,7837.15,7897.10,7832.00,7883.80,12390.7,8195543.0,37,14
2015-11-27,Nifty 50,795,733,7910.60,7959.30,7879.45,7942.70,10741.25,6943198.0,37,8
2015-11-30,Nifty 50,915,623,7936.25,7966.00,7922.80,7935.25,14019.82,9275050.0,37,12
2015-12-01,Nifty 50,882,656,7958.15,7972.15,7934.15,7954.90,10602.43,7512248.0,32,6
2015-12-02,Nifty 50,761,774,7976.70,7979.30,7910.80,7931.35,9792.72,7091595.0,33,2
2015-12-03,Nifty 50,570,969,7902.30,7912.30,7853.30,7864.15,10772.54,7117357.0,26,8
2015-12-04,Nifty 50,532,996,7817.60,7821.40,7775.70,7781.90,11194.25,7285697.0,26,11
2015-12-07,Nifty 50,745,798,7816.55,7825.40,7746.05,7765.40,8667.6,6293641.0,26,10
2015-12-08,Nifty 50,362,1189,7738.50,7771.25,7685.45,7701.70,8999.67,6658968.0,22,16
2015-12-09,Nifty 50,188,1375,7695.50,7702.85,7606.90,7612.50,9114.77,6837970.0,14,23
2015-12-10,Nifty 50,1117,418,7643.30,7691.95,7610.00,7683.30,8696.34,7176511.0,12,17
2015-12-11,Nifty 50,456,1082,7699.60,7703.05,7575.30,7610.45,8793.56,7420801.0,12,16
2015-12-14,Nifty 50,871,663,7558.20,7663.95,7551.05,7650.05,7637.96,6740868.0,13,24
2015-12-15,Nifty 50,968,545,7659.15,7705.00,7625.10,7700.90,7054.4,6626541.0,13,13
2015-12-16,Nifty 50,832,702,7725.25,7776.60,7715.75,7750.90,8407.79,6957029.0,29,5
2015-12-17,Nifty 50,1239,322,7783.05,7852.90,7737.55,7844.35,9421.54,7403818.0,27,6
2015-12-18,Nifty 50,699,858,7828.90,7836.15,7753.35,7761.95,9486.88,7344209.0,34,8
2015-12-21,Nifty 50,1113,454,7745.65,7840.75,7733.45,7834.45,8345.49,6087457.0,40,6
2015-12-22,Nifty 50,737,821,7829.40,7846.30,7776.85,7786.10,9081.36,6494270.0,43,4
2015-12-23,Nifty 50,931,614,7830.45,7871.45,7826.10,7865.95,8108.76,6430478.0,42,7
2015-12-24,Nifty 50,875,655,7888.75,7888.75,7835.50,7861.05,8256.08,5872838.0,33,3
2015-12-28,Nifty 50,875,677,7863.20,7937.20,7863.00,7925.15,7827.87,5875134.0,42,4
